id,title,director,duration_minutes,genres,release_year,synopsis,themes,thumbnail_url,video_url,view_count
d9d938f3-29db-4052-a4a2-af6c0934ee3d,The Estheticist,,2,Horror,2026,Une mère s'inquiète d'entendre des bruits bizarres dans la chambre de sa fillette.,Horror,,https://www.youtube.com/watch?v=KULbUh-eCfg,599
57714092-7cd1-4641-879b-b83efe97930c,FASHION STANDARD - Épisode N°2,,2,"Animation, Sci-Fi, Experimental",2026,"Stéphanie Carell, créatrice et animatrice d’une émission de relooking, poursuit un objectif clair : imposer la vision de la beauté comme modèle absolu de vie.","Animation, Sci-Fi, Experimental",,https://www.youtube.com/watch?v=fF_VWZfHsgk,577
773b188a-fb80-48de-a6cc-496a27e834e8,Une belle vue,,2,Drama,2026,Trois sœurs se retrouvent pour une occasion spéciale au Rocher du Goëland mais la vue n’est pas ce qu’elles espéraient.,Drama,,https://www.youtube.com/watch?v=1jxqETOE5ic,542
017e6a45-d2a9-40f8-9193-d2336d3296a4,Un voeu,,2,Drama,2026,"Pour arracher sa sœur à un quotidien étouffant, Oscar l'entraîne dans une escapade aux limites de leur monde bétonné.",Drama,,https://www.youtube.com/watch?v=3kNlUo0YdXk,539
a705580f-1574-43ae-a54b-8d2a85e5024f,FASHION STANDARD - Épisode N°3,,2,"Animation, Sci-Fi, Experimental",2026,"Stéphanie Carell, créatrice et animatrice d’une émission de relooking, poursuit un objectif clair : imposer la vision de la beauté comme modèle absolu de vie.","Animation, Sci-Fi, Experimental",,https://www.youtube.com/watch?v=xH-L2zk-J6g,509
ba9cd17e-6cb1-4b39-9cdc-4774db67bb6d,L'ENFER C'EST LES POSTS,,2,Drama,2026,Court metrage Nikon Film Festival : L'ENFER C'EST LES POSTS,Drama,,https://www.youtube.com/watch?v=KmYCzpk-afg,495
2cd97ef5-63b5-4a48-b59d-bf99172457ac,FASHION STANDARD - Épisode N°6,,2,"Animation, Sci-Fi, Experimental",2026,"Stéphanie Carell, créatrice et animatrice d’une émission de relooking, poursuit un objectif clair : imposer la vision de la beauté comme modèle absolu de vie.","Animation, Sci-Fi, Experimental",,https://www.youtube.com/watch?v=Vluzh6P29LU,469
f29efdfc-4932-4159-92ee-dd57b8a9b3e4,URGENCE RECONNEXION BEAUTÉ,,2,Drama,2026,"Avant, on perdait son temps.Aujourd’hui, on se perd soi-même.",Drama,,https://www.youtube.com/watch?v=fylntmF4zyw,463
352a2c6f-9a34-4b31-9458-e9a98ac7b9a0,FASHION STANDARD - Épisode N°4,,2,"Animation, Sci-Fi, Experimental",2026,"Stéphanie Carell, créatrice et animatrice d’une émission de relooking, poursuit un objectif clair : imposer la vision de la beauté comme modèle absolu de vie.","Animation, Sci-Fi, Experimental",,https://www.youtube.com/watch?v=F4aS6PAzYRw,458
a615d980-2888-4e81-b239-786bf8a6ea20,FASHION STANDARD - Épisode N°5,,2,"Animation, Sci-Fi, Experimental",2026,"Stéphanie Carell, créatrice et animatrice d’une émission de relooking, poursuit un objectif clair : imposer la vision de la beauté comme modèle absolu de vie.","Animation, Sci-Fi, Experimental",,https://www.youtube.com/watch?v=l9pr2Uq6rjQ,447
4771798d-faf5-4562-8e45-b80fa082f6e8,Antipodes,,2,Drama,2026,"Face au vent et à la mer, une femme vient trouver un point de contact entre ce qui a disparu et ce qui perdure.",Drama,,https://www.youtube.com/watch?v=XDIXAkMvPrA,427
5cb9e37e-453a-4102-a33a-300453f362ca,Beautiful life,,2,Drama,2026,"Alya et Mara, deux jeunes femmes iraniennes, traversent la frontière pour rejoindre l’Europe et rêvent d’une « beautiful life ».",Drama,,https://www.youtube.com/watch?v=EjgFBhuQ7NU,417
8fa6e122-80a6-4ff8-845e-92ab7b120d42,POMMETTES,,2,Fantasy,2026,M.,Fantasy,,https://www.youtube.com/watch?v=rfwKhkHfHJ4,408
